,nodes,framework,duration_TTC,duration_Units,session,json
0,1,RADICAL-Pilot,1223.6452000141144,1170.0,,rp_watershed_192tasks_24cores_26/rp_watershed_192tasks_24cores_26.json
1,1,RADICAL-Pilot,1224.345200061798,1167.0,,rp_watershed_192tasks_24cores_22/rp_watershed_192tasks_24cores_22.json
2,1,RADICAL-Pilot,1201.3315000534058,1154.0,,rp_watershed_192tasks_24cores_24/rp_watershed_192tasks_24cores_24.json
3,1,RADICAL-Pilot,1233.0811998844147,1186.0,,rp_watershed_192tasks_24cores_20/rp_watershed_192tasks_24cores_20.json
4,1,RADICAL-Pilot,1247.9389998912811,1181.0,,rp_watershed_192tasks_24cores_28/rp_watershed_192tasks_24cores_28.json
5,1,RADICAL-Pilot,1270.3959000110626,1216.0,,rp_watershed_192tasks_24cores_21/rp_watershed_192tasks_24cores_21.json
6,1,RADICAL-Pilot,1239.0138001441956,1178.0,,rp_watershed_192tasks_24cores_25/rp_watershed_192tasks_24cores_25.json
7,1,RADICAL-Pilot,1288.892699956894,1233.0,,rp_watershed_192tasks_24cores_23/rp_watershed_192tasks_24cores_23.json
8,1,RADICAL-Pilot,1193.7210998535156,1140.0,,rp_watershed_192tasks_24cores_27/rp_watershed_192tasks_24cores_27.json
9,1,RADICAL-Pilot,1237.6038999557495,1179.0,,rp_watershed_192tasks_24cores_29/rp_watershed_192tasks_24cores_29.json
10,2,RADICAL-Pilot,651.1144001483917,582.0,,rp_watershed_192tasks_48cores_20/rp_watershed_192tasks_48cores_20.json
11,2,RADICAL-Pilot,720.4304001331329,638.0,,rp_watershed_192tasks_48cores_21/rp_watershed_192tasks_48cores_21.json
12,2,RADICAL-Pilot,664.251699924469,592.0,,rp_watershed_192tasks_48cores_28/rp_watershed_192tasks_48cores_28.json
13,2,RADICAL-Pilot,663.100800037384,597.0,,rp_watershed_192tasks_48cores_26/rp_watershed_192tasks_48cores_26.json
14,2,RADICAL-Pilot,638.3608000278473,583.0,,rp_watershed_192tasks_48cores_25/rp_watershed_192tasks_48cores_25.json
15,2,RADICAL-Pilot,664.345999956131,601.0,,rp_watershed_192tasks_48cores_29/rp_watershed_192tasks_48cores_29.json
16,2,RADICAL-Pilot,658.1818001270294,599.0,,rp_watershed_192tasks_48cores_24/rp_watershed_192tasks_48cores_24.json
17,2,RADICAL-Pilot,687.3957998752594,626.0,,rp_watershed_192tasks_48cores_23/rp_watershed_192tasks_48cores_23.json
18,2,RADICAL-Pilot,628.5536000728607,562.0,,rp_watershed_192tasks_48cores_27/rp_watershed_192tasks_48cores_27.json
19,2,RADICAL-Pilot,632.9732999801636,569.0,,rp_watershed_192tasks_48cores_22/rp_watershed_192tasks_48cores_22.json
20,4,RADICAL-Pilot,375.9648001194,292.0,,rp_watershed_192tasks_96cores_26/rp_watershed_192tasks_96cores_26.json
21,4,RADICAL-Pilot,436.0720999240875,317.0,,rp_watershed_192tasks_96cores_27/rp_watershed_192tasks_96cores_27.json
22,4,RADICAL-Pilot,347.41009998321533,293.0,,rp_watershed_192tasks_96cores_23/rp_watershed_192tasks_96cores_23.json
23,4,RADICAL-Pilot,366.62159991264343,296.0,,rp_watershed_192tasks_96cores_21/rp_watershed_192tasks_96cores_21.json
24,4,RADICAL-Pilot,502.39400005340576,368.0,,rp_watershed_192tasks_96cores_28/rp_watershed_192tasks_96cores_28.json
25,4,RADICAL-Pilot,368.43969988822937,293.0,,rp_watershed_192tasks_96cores_24/rp_watershed_192tasks_96cores_24.json
26,4,RADICAL-Pilot,323.8641002178192,284.0,,rp_watershed_192tasks_96cores_25/rp_watershed_192tasks_96cores_25.json
27,4,RADICAL-Pilot,370.18210005760193,291.0,,rp_watershed_192tasks_96cores_22/rp_watershed_192tasks_96cores_22.json
28,4,RADICAL-Pilot,350.63180017471313,302.0,,rp_watershed_192tasks_96cores_29/rp_watershed_192tasks_96cores_29.json
29,4,RADICAL-Pilot,330.23140001296997,282.0,,rp_watershed_192tasks_96cores_20/rp_watershed_192tasks_96cores_20.json
30,8,RADICAL-Pilot,222.623300075531,141.0,,rp_watershed_192tasks_192cores_24/rp_watershed_192tasks_192cores_24.json
31,8,RADICAL-Pilot,200.94400000572205,148.0,,rp_watershed_192tasks_192cores_25/rp_watershed_192tasks_192cores_25.json
32,8,RADICAL-Pilot,182.7063000202179,144.0,,rp_watershed_192tasks_192cores_26/rp_watershed_192tasks_192cores_26.json
33,8,RADICAL-Pilot,177.59920001029968,143.0,,rp_watershed_192tasks_192cores_29/rp_watershed_192tasks_192cores_29.json
34,8,RADICAL-Pilot,213.93420004844666,145.0,,rp_watershed_192tasks_192cores_27/rp_watershed_192tasks_192cores_27.json
35,8,RADICAL-Pilot,216.73920011520386,140.0,,rp_watershed_192tasks_192cores_20/rp_watershed_192tasks_192cores_20.json
36,8,RADICAL-Pilot,189.68670010566711,144.0,,rp_watershed_192tasks_192cores_22/rp_watershed_192tasks_192cores_22.json
37,8,RADICAL-Pilot,229.31990003585815,146.0,,rp_watershed_192tasks_192cores_28/rp_watershed_192tasks_192cores_28.json
38,8,RADICAL-Pilot,218.24659991264343,145.0,,rp_watershed_192tasks_192cores_21/rp_watershed_192tasks_192cores_21.json
39,8,RADICAL-Pilot,185.8404998779297,145.0,,rp_watershed_192tasks_192cores_23/rp_watershed_192tasks_192cores_23.json
