BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario,Application,Centers
1512948900000 ms, 2017-12-10T17:35:02, 5, 3019, 3014, 0,10P-1B-4C,kmeans,10
1512948960000 ms, 2017-12-10T17:36:00, 0, 2008, 2008, 0,10P-1B-4C,kmeans,10
1512949020000 ms, 2017-12-10T17:37:17, 1, 59119, 59118, 16888,10P-1B-4C,kmeans,10
1512949080000 ms, 2017-12-10T17:38:22, 0, 64671, 64671, 19454,10P-1B-4C,kmeans,10
1512949140000 ms, 2017-12-10T17:39:32, 0, 61884, 61884, 19715,10P-1B-4C,kmeans,10
1512949200000 ms, 2017-12-10T17:40:43, 1, 58642, 58641, 19596,10P-1B-4C,kmeans,10
1512949260000 ms, 2017-12-10T17:41:10, 32282, 46553, 14271, 4347,10P-1B-4C,kmeans,10
1512949320000 ms, 2017-12-10T17:42:00, 0, 1510, 1510, 0,10P-1B-4C,kmeans,10
1512949380000 ms, 2017-12-10T17:43:00, 0, 2095, 2095, 239,10P-1B-4C,kmeans,10
1512949440000 ms, 2017-12-10T17:44:19, 0, 67635, 67635, 19123,10P-1B-4C,kmeans,10
1512949500000 ms, 2017-12-10T17:45:31, 1, 65364, 65363, 19993,10P-1B-4C,kmeans,10
1512949560000 ms, 2017-12-10T17:46:42, 0, 64740, 64740, 20044,10P-1B-4C,kmeans,10
1512949620000 ms, 2017-12-10T17:47:33, 13885, 64432, 50547, 17662,10P-1B-4C,kmeans,10
1512949680000 ms, 2017-12-10T17:48:06, 31406, 37244, 5838, 1734,10P-1B-4C,kmeans,10
1512949740000 ms, 2017-12-10T17:49:01, 0, 4350, 4350, 1205,10P-1B-4C,kmeans,10
1512949800000 ms, 2017-12-10T17:50:00, 1, 1525, 1524, 0,10P-1B-4C,kmeans,10
1512949860000 ms, 2017-12-10T17:51:00, 0, 1523, 1523, 0,10P-1B-4C,kmeans,10
1512949920000 ms, 2017-12-10T17:52:15, 2, 50782, 50780, 15247,10P-1B-4C,kmeans,10
1512949980000 ms, 2017-12-10T17:53:19, 2, 67270, 67268, 20307,10P-1B-4C,kmeans,10
1512950040000 ms, 2017-12-10T17:54:32, 2, 65071, 65069, 20474,10P-1B-4C,kmeans,10
1512950100000 ms, 2017-12-10T17:55:45, 0, 60934, 60934, 20759,10P-1B-4C,kmeans,10
1512950160000 ms, 2017-12-10T17:56:11, 35352, 47224, 11872, 3213,10P-1B-4C,kmeans,10
1512950220000 ms, 2017-12-10T17:57:00, 1, 1497, 1496, 0,10P-1B-4C,kmeans,10
1512950280000 ms, 2017-12-10T17:58:07, 0, 19655, 19655, 6227,10P-1B-4C,kmeans,10
1512950340000 ms, 2017-12-10T17:59:19, 1, 69025, 69024, 21082,10P-1B-4C,kmeans,10
1512950400000 ms, 2017-12-10T18:00:34, 2, 70754, 70752, 20729,10P-1B-4C,kmeans,10
1512950460000 ms, 2017-12-10T18:01:30, 14548, 75681, 61133, 19471,10P-1B-4C,kmeans,10
1512950520000 ms, 2017-12-10T18:02:25, 20502, 56773, 36271, 12491,10P-1B-4C,kmeans,10
1512950580000 ms, 2017-12-10T18:03:00, 22244, 23734, 1490, 0,10P-1B-4C,kmeans,10
1512950640000 ms, 2017-12-10T18:04:00, 1, 1504, 1503, 0,10P-1B-4C,kmeans,10
1512950700000 ms, 2017-12-10T18:05:16, 0, 56897, 56897, 16560,10P-1B-4C,kmeans,10
1512950760000 ms, 2017-12-10T18:06:21, 0, 71153, 71153, 21041,10P-1B-4C,kmeans,10
1512950820000 ms, 2017-12-10T18:07:37, 1, 70081, 70080, 20542,10P-1B-4C,kmeans,10
1512950880000 ms, 2017-12-10T18:08:33, 13544, 73611, 60067, 20251,10P-1B-4C,kmeans,10
1512950940000 ms, 2017-12-10T18:09:09, 38223, 44449, 6226, 1606,10P-1B-4C,kmeans,10
1512951000000 ms, 2017-12-10T18:10:00, 0, 1503, 1503, 0,10P-1B-4C,kmeans,10
1512951060000 ms, 2017-12-10T18:11:00, 1, 1844, 1843, 170,10P-1B-4C,kmeans,10
1512951120000 ms, 2017-12-10T18:12:20, 0, 69987, 69987, 20543,10P-1B-4C,kmeans,10
1512951180000 ms, 2017-12-10T18:13:36, 1, 70657, 70656, 20428,10P-1B-4C,kmeans,10
1512951240000 ms, 2017-12-10T18:14:30, 16558, 85109, 68551, 20791,10P-1B-4C,kmeans,10
1512951300000 ms, 2017-12-10T18:15:37, 18247, 69846, 51599, 17570,10P-1B-4C,kmeans,10
1512951360000 ms, 2017-12-10T18:16:11, 36279, 38723, 2444, 498,10P-1B-4C,kmeans,10
1512951420000 ms, 2017-12-10T18:17:00, 0, 1496, 1496, 0,10P-1B-4C,kmeans,10
