BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario,Application,Centers
1512933720000 ms, 2017-12-10T13:22:02, 4, 2335, 2331, 0,6P-1B-2C,kmeans,10
1512933780000 ms, 2017-12-10T13:23:18, 1, 65537, 65536, 10016,6P-1B-2C,kmeans,10
1512933840000 ms, 2017-12-10T13:24:26, 0, 58229, 58229, 9464,6P-1B-2C,kmeans,10
1512933900000 ms, 2017-12-10T13:25:31, 1, 54624, 54623, 9388,6P-1B-2C,kmeans,10
1512933960000 ms, 2017-12-10T13:26:29, 1, 32474, 32473, 5975,6P-1B-2C,kmeans,10
1512934020000 ms, 2017-12-10T13:27:02, 1, 7143, 7142, 1157,6P-1B-2C,kmeans,10
1512934080000 ms, 2017-12-10T13:28:00, 1, 1371, 1370, 0,6P-1B-2C,kmeans,10
1512934140000 ms, 2017-12-10T13:29:00, 0, 1375, 1375, 0,6P-1B-2C,kmeans,10
1512934200000 ms, 2017-12-10T13:30:17, 0, 65347, 65347, 10350,6P-1B-2C,kmeans,10
1512934260000 ms, 2017-12-10T13:31:29, 0, 62490, 62490, 10754,6P-1B-2C,kmeans,10
1512934320000 ms, 2017-12-10T13:32:41, 1, 59632, 59631, 10569,6P-1B-2C,kmeans,10
1512934380000 ms, 2017-12-10T13:33:16, 24364, 48099, 23735, 4273,6P-1B-2C,kmeans,10
1512934440000 ms, 2017-12-10T13:34:00, 4005, 5382, 1377, 54,6P-1B-2C,kmeans,10
1512934500000 ms, 2017-12-10T13:35:00, 0, 1318, 1318, 0,6P-1B-2C,kmeans,10
1512934560000 ms, 2017-12-10T13:36:09, 0, 30674, 30674, 5588,6P-1B-2C,kmeans,10
1512934620000 ms, 2017-12-10T13:37:18, 1, 67041, 67040, 11165,6P-1B-2C,kmeans,10
1512934680000 ms, 2017-12-10T13:38:35, 0, 68768, 68768, 11018,6P-1B-2C,kmeans,10
1512934740000 ms, 2017-12-10T13:39:24, 19903, 65035, 45132, 8229,6P-1B-2C,kmeans,10
1512934800000 ms, 2017-12-10T13:40:00, 28813, 30137, 1324, 0,6P-1B-2C,kmeans,10
1512934860000 ms, 2017-12-10T13:41:00, 1, 1377, 1376, 0,6P-1B-2C,kmeans,10
1512934920000 ms, 2017-12-10T13:42:00, 1, 1344, 1343, 0,6P-1B-2C,kmeans,10
