Operation,Number_points,Dimensions,Number_Centroids,Total_Number_Consumers,Execution_time
kmeans-model-put,   8000, 3, 10, 1, 0.00418
kmeans-kafka,   8000, 3, 10, 1, 0.00006
kmeans-parsing, 8000, 3, 10, 1, 0.12511
kmeans-model-get,   8000, 3, 10, 1, 0.00382
kmeans-model-redis,   8000, 3, 10, 1, 0.00983
kmeans-model-put,   8000, 3, 10, 1, 0.00409
kmeans-kafka,   8000, 3, 10, 1, 0.00008
kmeans-parsing, 8000, 3, 10, 1, 0.12943
kmeans-model-get,   8000, 3, 10, 1, 0.00154
kmeans-model-redis,   8000, 3, 10, 1, 0.00835
kmeans-model-put,   8000, 3, 10, 1, 0.00411
kmeans-kafka,   8000, 3, 10, 1, 0.00006
kmeans-parsing, 8000, 3, 10, 1, 0.12162
kmeans-model-get,   8000, 3, 10, 1, 0.00200
kmeans-model-redis,   8000, 3, 10, 1, 0.00528
kmeans-model-put,   8000, 3, 10, 1, 0.00409
kmeans-kafka,   8000, 3, 10, 1, 0.00006
kmeans-parsing, 8000, 3, 10, 1, 0.11980
kmeans-model-get,   8000, 3, 10, 1, 0.00208
kmeans-model-redis,   8000, 3, 10, 1, 0.00508
kmeans-model-put,   8000, 3, 10, 1, 0.00403
kmeans-kafka,   8000, 3, 10, 1, 0.00005
kmeans-parsing, 8000, 3, 10, 1, 0.12052
kmeans-model-get,   8000, 3, 10, 1, 0.00201
kmeans-model-redis,   8000, 3, 10, 1, 0.00520
kmeans-model-put,   8000, 3, 10, 1, 0.00406
kmeans-kafka,   8000, 3, 10, 1, 0.00006
kmeans-parsing, 8000, 3, 10, 1, 0.10058
kmeans-model-get,   8000, 3, 10, 1, 0.00203
kmeans-model-redis,   8000, 3, 10, 1, 0.00513
kmeans-model-put,   8000, 3, 10, 1, 0.00405
kmeans-kafka,   8000, 3, 10, 1, 0.00006
kmeans-parsing, 8000, 3, 10, 1, 0.11957
kmeans-model-get,   8000, 3, 10, 1, 0.00210
kmeans-model-redis,   8000, 3, 10, 1, 0.00518
kmeans-model-put,   8000, 3, 10, 1, 0.00395
kmeans-kafka,   8000, 3, 10, 1, 0.00004
kmeans-parsing, 8000, 3, 10, 1, 0.11950
kmeans-model-get,   8000, 3, 10, 1, 0.00188
kmeans-model-redis,   8000, 3, 10, 1, 0.00510
kmeans-model-put,   8000, 3, 10, 1, 0.00399
kmeans-kafka,   8000, 3, 10, 1, 0.00005
kmeans-parsing, 8000, 3, 10, 1, 0.11528
kmeans-model-get,   8000, 3, 10, 1, 0.00139
kmeans-model-redis,   8000, 3, 10, 1, 0.00472
kmeans-model-put,   8000, 3, 10, 1, 0.00395
kmeans-kafka,   8000, 3, 10, 1, 0.00005
kmeans-parsing, 8000, 3, 10, 1, 0.11694
kmeans-model-get,   8000, 3, 10, 1, 0.00201
kmeans-model-redis,   8000, 3, 10, 1, 0.00488
kmeans-model-put,   8000, 3, 10, 1, 0.00376
kmeans-kafka,   8000, 3, 10, 1, 0.00004
kmeans-parsing, 8000, 3, 10, 1, 0.11628
kmeans-model-get,   8000, 3, 10, 1, 0.00198
kmeans-model-redis,   8000, 3, 10, 1, 0.00491
kmeans-model-put,   8000, 3, 10, 1, 0.00389
kmeans-kafka,   8000, 3, 10, 1, 0.00006
kmeans-parsing, 8000, 3, 10, 1, 0.11928
kmeans-model-get,   8000, 3, 10, 1, 0.00204
kmeans-model-redis,   8000, 3, 10, 1, 0.00508
kmeans-model-put,   8000, 3, 10, 1, 0.00405
kmeans-kafka,   8000, 3, 10, 1, 0.00005
kmeans-parsing, 8000, 3, 10, 1, 0.10101
kmeans-model-get,   8000, 3, 10, 1, 0.00187
kmeans-model-redis,   8000, 3, 10, 1, 0.00507
kmeans-model-put,   8000, 3, 10, 1, 0.00391
kmeans-kafka,   8000, 3, 10, 1, 0.00005
kmeans-parsing, 8000, 3, 10, 1, 0.11633
kmeans-model-get,   8000, 3, 10, 1, 0.00201
kmeans-model-redis,   8000, 3, 10, 1, 0.00492
kmeans-model-put,   8000, 3, 10, 1, 0.00392
kmeans-kafka,   8000, 3, 10, 1, 0.00007
kmeans-parsing, 8000, 3, 10, 1, 0.11077
kmeans-model-get,   8000, 3, 10, 1, 0.00200
kmeans-model-redis,   8000, 3, 10, 1, 0.00522
kmeans-model-put,   8000, 3, 10, 1, 0.00388
kmeans-kafka,   8000, 3, 10, 1, 0.00005
kmeans-parsing, 8000, 3, 10, 1, 0.12020
kmeans-model-get,   8000, 3, 10, 1, 0.00192
kmeans-model-redis,   8000, 3, 10, 1, 0.00504
kmeans-model-put,   8000, 3, 10, 1, 0.00386
kmeans-kafka,   8000, 3, 10, 1, 0.00005
kmeans-parsing, 8000, 3, 10, 1, 0.11984
kmeans-model-get,   8000, 3, 10, 1, 0.00224
kmeans-model-redis,   8000, 3, 10, 1, 0.00523
kmeans-model-put,   8000, 3, 10, 1, 0.00395
kmeans-kafka,   8000, 3, 10, 1, 0.00007
kmeans-parsing, 8000, 3, 10, 1, 0.11562
kmeans-model-get,   8000, 3, 10, 1, 0.00211
kmeans-model-redis,   8000, 3, 10, 1, 0.00508
kmeans-model-put,   8000, 3, 10, 1, 0.00399
kmeans-kafka,   8000, 3, 10, 1, 0.00005
kmeans-parsing, 8000, 3, 10, 1, 0.11692
kmeans-model-get,   8000, 3, 10, 1, 0.00187
kmeans-model-redis,   8000, 3, 10, 1, 0.00505
kmeans-model-put,   8000, 3, 10, 1, 0.00389
kmeans-kafka,   8000, 3, 10, 1, 0.00008
kmeans-parsing, 8000, 3, 10, 1, 0.10062
kmeans-model-get,   8000, 3, 10, 1, 0.00209
kmeans-model-redis,   8000, 3, 10, 1, 0.00495
kmeans-model-put,   8000, 3, 10, 1, 0.00406
kmeans-kafka,   8000, 3, 10, 1, 0.00006
kmeans-parsing, 8000, 3, 10, 1, 0.11799
kmeans-model-get,   8000, 3, 10, 1, 0.00196
kmeans-model-redis,   8000, 3, 10, 1, 0.00521
kmeans-model-put,   8000, 3, 10, 1, 0.00407
kmeans-kafka,   8000, 3, 10, 1, 0.00006
kmeans-parsing, 8000, 3, 10, 1, 0.12530
kmeans-model-get,   8000, 3, 10, 1, 0.00206
kmeans-model-redis,   8000, 3, 10, 1, 0.00510
kmeans-model-put,   8000, 3, 10, 1, 0.00400
kmeans-kafka,   8000, 3, 10, 1, 0.00005
kmeans-parsing, 8000, 3, 10, 1, 0.11792
kmeans-model-get,   8000, 3, 10, 1, 0.00205
kmeans-model-redis,   8000, 3, 10, 1, 0.00486
kmeans-model-put,   8000, 3, 10, 1, 0.00394
kmeans-kafka,   8000, 3, 10, 1, 0.00008
kmeans-parsing, 8000, 3, 10, 1, 0.11932
kmeans-model-get,   8000, 3, 10, 1, 0.00210
kmeans-model-redis,   8000, 3, 10, 1, 0.00488
kmeans-model-put,   8000, 3, 10, 1, 0.00400
kmeans-kafka,   8000, 3, 10, 1, 0.00009
kmeans-parsing, 8000, 3, 10, 1, 0.12144
kmeans-model-get,   8000, 3, 10, 1, 0.00190
kmeans-model-redis,   8000, 3, 10, 1, 0.00507
kmeans-model-put,   8000, 3, 10, 1, 0.00371
kmeans-kafka,   8000, 3, 10, 1, 0.00006
kmeans-parsing, 8000, 3, 10, 1, 0.12211
kmeans-model-get,   8000, 3, 10, 1, 0.00195
kmeans-model-redis,   8000, 3, 10, 1, 0.00494
kmeans-model-put,   8000, 3, 10, 1, 0.00370
kmeans-kafka,   8000, 3, 10, 1, 0.00007
kmeans-parsing, 8000, 3, 10, 1, 0.10308
kmeans-model-get,   8000, 3, 10, 1, 0.00199
kmeans-model-redis,   8000, 3, 10, 1, 0.00472
kmeans-model-put,   8000, 3, 10, 1, 0.00382
