,Nodes,Framework,Duration,Json
0,1,RADICAL-Pilot,161.45869994163513,rp_watershed_24tasks_24cores_20/rp_watershed_24tasks_24cores_20.json
1,1,RADICAL-Pilot,151.40030002593994,rp_watershed_24tasks_24cores_22/rp_watershed_24tasks_24cores_22.json
2,1,RADICAL-Pilot,174.801500082016,rp_watershed_24tasks_24cores_24/rp_watershed_24tasks_24cores_24.json
3,1,RADICAL-Pilot,150.5339000225067,rp_watershed_24tasks_24cores_23/rp_watershed_24tasks_24cores_23.json
4,1,RADICAL-Pilot,154.43439984321594,rp_watershed_24tasks_24cores_25/rp_watershed_24tasks_24cores_25.json
5,1,RADICAL-Pilot,161.35050010681152,rp_watershed_24tasks_24cores_21/rp_watershed_24tasks_24cores_21.json
6,2,RADICAL-Pilot,175.20969986915588,rp_watershed_48tasks_48cores_20/rp_watershed_48tasks_48cores_20.json
7,2,RADICAL-Pilot,166.78349995613098,rp_watershed_48tasks_48cores_24/rp_watershed_48tasks_48cores_24.json
8,2,RADICAL-Pilot,158.62680006027222,rp_watershed_48tasks_48cores_21/rp_watershed_48tasks_48cores_21.json
9,2,RADICAL-Pilot,163.70620012283325,rp_watershed_48tasks_48cores_25/rp_watershed_48tasks_48cores_25.json
10,2,RADICAL-Pilot,165.91460013389587,rp_watershed_48tasks_48cores_23/rp_watershed_48tasks_48cores_23.json
11,2,RADICAL-Pilot,153.73489999771118,rp_watershed_48tasks_48cores_22/rp_watershed_48tasks_48cores_22.json
12,4,RADICAL-Pilot,185.86730003356934,rp_watershed_96tasks_96cores_25/rp_watershed_96tasks_96cores_25.json
13,4,RADICAL-Pilot,166.50010013580322,rp_watershed_96tasks_96cores_23/rp_watershed_96tasks_96cores_23.json
14,4,RADICAL-Pilot,172.55190014839172,rp_watershed_96tasks_96cores_22/rp_watershed_96tasks_96cores_22.json
15,4,RADICAL-Pilot,191.8814001083374,rp_watershed_96tasks_96cores_24/rp_watershed_96tasks_96cores_24.json
16,4,RADICAL-Pilot,174.42779994010925,rp_watershed_96tasks_96cores_21/rp_watershed_96tasks_96cores_21.json
17,4,RADICAL-Pilot,178.97199988365173,rp_watershed_96tasks_96cores_20/rp_watershed_96tasks_96cores_20.json
18,8,RADICAL-Pilot,222.623300075531,rp_watershed_192tasks_192cores_24/rp_watershed_192tasks_192cores_24.json
19,8,RADICAL-Pilot,200.94400000572205,rp_watershed_192tasks_192cores_25/rp_watershed_192tasks_192cores_25.json
20,8,RADICAL-Pilot,216.73920011520386,rp_watershed_192tasks_192cores_20/rp_watershed_192tasks_192cores_20.json
21,8,RADICAL-Pilot,189.68670010566711,rp_watershed_192tasks_192cores_22/rp_watershed_192tasks_192cores_22.json
22,8,RADICAL-Pilot,218.24659991264343,rp_watershed_192tasks_192cores_21/rp_watershed_192tasks_192cores_21.json
23,8,RADICAL-Pilot,185.8404998779297,rp_watershed_192tasks_192cores_23/rp_watershed_192tasks_192cores_23.json
