Scenario,Par,Nodes,Type,Time,Time,Time
small,omp,1,read,155.6851,133.4531,144.6506
small,omp,1,exec,269.7567,272.4512,253.1332
small,omp,1,write,223.7209,222.9694,223.6599
small,mpi,1,read,49.5894,199.8003,87.0614
small,mpi,1,exec,234.2093,230.8826,233.7765
small,mpi,1,write,14.0723,14.1607,14.1460
small,mpi,2,read,44.2566,42.3310,42.1245
small,mpi,2,exec,233.0346,232.8755,231.7468
small,mpi,2,write,14.1875,14.2462,14.2718
small,mpi,4,read,35.2085,36.0686,33.3102
small,mpi,4,exec,227.0627,227.0792,227.1124
small,mpi,4,write,14.3328,14.1496,14.1192
medium,mpi,1,read,57.4029,60.5565,54.1781
medium,mpi,1,exec,953.7868,954.3838,954.5257
medium,mpi,1,write,58.7108,59.5923,58.2298
medium,mpi,2,read,51.4408,48.5266,47.4901
medium,mpi,2,exec,935.0366,933.9333,933.1705
medium,mpi,2,write,56.3363,56.4463,56.4671
medium,mpi,4,read,38.8340,42.6559,40.0065
medium,mpi,4,exec,907.9359,909.0642,907.8906
medium,mpi,4,write,56.4834,56.8250,56.9316
